case|outcome|protected_surfaces|expected|verdict
01-allowed-control|MINT_FAILED|||
02-direct-protected|MINT_FAILED|||
03-inrepo-traversal|MINT_FAILED|||
04-nested-traversal|MINT_FAILED|||
05-constitution-traversal|MINT_FAILED|||
06-root-escape|MINT_FAILED|||
07-absolute-path|MINT_FAILED|||
08-nul-path|MINT_FAILED|||
09-symlink-dir-escape|MINT_FAILED|||
10-symlink-to-root|MINT_FAILED|||
11-symlink-leaf-target|MINT_FAILED|||
12-capability-root-file|MINT_FAILED|||
13-gate-edit-traversal|MINT_FAILED|||
14-backslash-separator|MINT_FAILED|||
15-caproot-symlink-protected|MINT_FAILED|||
16-caproot-symlink-root|MINT_FAILED|||
17-caproot-symlink-outside|MINT_FAILED|||
18-caproot-symlink-gate|MINT_FAILED|||
