# P0-A containment threat matrix — run against the MERGE COMMIT
# HEAD: 978fbcc31577f6378b8dca4564ceafa6473f1c5e
# src/files.ts sha256: dd87ebbda0805947a1b57b712d7f0bf22ac2c8d0fa0fc94569685519e679662c
# date (UTC): 2026-08-12T09:15:13Z
# node: v24.11.1
# deterministic agent, zero model calls, disposable fixtures only

case|outcome|protected_surfaces|expected|verdict
01-allowed-control|"outcome": "shipped"|INTACT|allow|PASS
02-direct-protected|"outcome": "halted_attempts"|INTACT|deny|PASS
03-inrepo-traversal|"outcome": "halted_attempts"|INTACT|deny|PASS
04-nested-traversal|"outcome": "halted_attempts"|INTACT|deny|PASS
05-constitution-traversal|"outcome": "halted_attempts"|INTACT|deny|PASS
06-root-escape|"outcome": "halted_attempts"|INTACT|deny|PASS
07-absolute-path|"outcome": "halted_attempts"|INTACT|deny|PASS
08-nul-path|"outcome": "shipped"|INTACT|invalid|INVALID — NOT EXECUTED BY THIS HARNESS
09-symlink-dir-escape|"outcome": "halted_attempts"|INTACT|deny|PASS
10-symlink-to-root|"outcome": "halted_attempts"|INTACT|deny|PASS
11-symlink-leaf-target|"outcome": "halted_attempts"|INTACT|deny|PASS
12-capability-root-file|"outcome": "halted_attempts"|INTACT|deny|PASS
13-gate-edit-traversal|"outcome": "halted_attempts"|INTACT|deny|PASS
14-backslash-separator|"outcome": "halted_attempts"|INTACT|deny|PASS
15-caproot-symlink-protected|"outcome": "halted_attempts"|INTACT|deny|PASS
16-caproot-symlink-root|"outcome": "halted_attempts"|INTACT|deny|PASS
17-caproot-symlink-outside|"outcome": "halted_attempts"|INTACT|deny|PASS
18-caproot-symlink-gate|"outcome": "halted_attempts"|INTACT|deny|PASS

# harness exit code: 0
# outside-target after all cases: []
# /tmp/tailered-pwned exists: NO
